key,en,ar,cs,de,es,fi,fr,it,ja,ko,nb,nl,pl,pt,ru,tr,zh
question.install_mod.title,Do you want to donwload and install the mod: {$1}?,,Chceš stáhnout a nainstalovat mod: {$1}?,,,Haluatko ladata ja asentaa modin: {$1}?,Voulez-vous télécharger et installer le mod suivant: {$1} ?,Vuoi scaricare ed installare la mod: {$1}?,Modのダウンロードとインストールを行いますか: {$1}？,모드를 다운로드하고 설치하시겠습니까: {$1}?,,"Wil je de mod ""{$1}"" downloaden en installeren?",Czy chcesz pobrać i zainstalować mod: {$1}?,Pretende transferir e instalar o mod: {$1}?,Хотите установить этот мод: {$1}?,Modu indirip kurmak ister misiniz: {$1}?,
question.search_mod,Search for mods...,,Hledej mody...,Nach Mods suchen...,,Haetaan modeja...,Recherche de mods...,Cercando delle mod...,Modを検索しています...,모드를 검색합니다...,,Zoeken naar mods...,Szukaj modów...,Procura por mods...,Поиск модов...,Modları ara...,
question.enter_new_name.title,Enter new name,,Zadej nové jméno,Einen neuen Namen eingeben,,Anna uusi nimi,Entrez un nouveau nom,Inserisci il nuovo nome,新しい名前を入力してください,새로운 이름을 입력하세요,,Vul een nieuwe naam in,Wpisz nowe imię,Introduza um novo nome,Введите новое название,Yeni adı girin:,
question.enter_new_name.extra,Changing name from: {$1},,Změna jména z: {$1},Name von {$1} ändern,,Muutetaan nimeä: {$1},Changer le nom actuel à: {$1},Cambiando nome da: {$1},名前をこれから変更します: {$1},이름을 다음과 같이 변경합니다: {$1},,"Naam aan het veranderen van ""{$1}"".",Zmienianie imienia z: {$1},Alterando o nome de: {$1},,Ad değiştiriliyor. (Eski ad: {$1}),
question.enter_mod_name.title,Mod name:,,,,,Modin nimi:,,,,,,,Nazwa Moda:,Nome do mod:,,,
question.launch_clear_patches_found.extra,You are about to launch the game without mods. Do you want to clear your Patches folder? Launching your game anyways will launch it with the current patches folder still active!,,,,,Olet käynnistämässä pelin ilman modeja. Haluatko tyhjentää paikkauskansiosi? Pelin käynnistyy muuten nykyisen paikkauskansion ollessa aktiivinen.,,,,,,,Zaraz uruchomisz grę bez modów. Czy chcesz wyczyścić swój folder poprawek? Uruchamianie gry tak czy siak uruchomi ją z aktualnym folderem poprawek dalej aktywnym!,Está prestes a iniciar o jogo sem mods. Pretende limpar a pasta de Patches? Iniciar o jogo assim vai iniciá-lo com a atual pasta de patches ainda ativa!,,,
question.apply_language_settings.title,This will close the current window and open a new one with the new language settings.,,,Das jetzige Fenster wird sich schließen und ein neues wird sich mit den neuen Spracheinstellungen öffnen.,,Tämä sulkee ikkunan ja avaa uuden valitulla kieliasetuksella.,,,,,,,To zamknie obecne okno i otworzy nowe z nowymi ustawieniami językowymi.,Isto vai fechar a janela atual e abrir uma nova com as novas definições de linguagem.,,,
question.apply_language_settings.extra,Do you want to apply the new language settings?,,,Neue Spracheinstellungen anwenden?,,Haluatko ottaa uuden kieliasetuksen käyttöön?,,,,,,,Czy chcesz zastosować nowe ustawienia językowe?,Pretende aplicar as novas definições de linguagem?,,,
message_warning.not_find_dolphin.extra,"Could not find Dolphin Emulator, please set the path in settings",,"Nepodařilo se najít Dolphin Emulator, prosím nastav cestu v nastavení.",Der Dolphin Emulator konnte nicht gefunden werden. Bitte lege den Pfad in den Einstellungen fest.,No se encontró el Emulador Dolphin. Seleccione la ruta en ajustes.,Dolphin-emulaattoria ei löytynyt. Määritä sijaintipolku asetuksissa.,"N'a pas pu trouver Dolphin Emulator, veuillez choisir le chemin dans les paramètres","Non è stato possibile trovare l'Emulatore Dolphin, controlla l'indirizzo nelle impostazioni",Dolphinエミュレーターが見つかりませんでした。設定でパスを設定してください。,돌핀 에뮬레이터를 찾을 수 없습니다. 설정에서 경로를 지정해 주십시오.,,Kan Dolphin-emulator niet vinden. Geef eerst de locatie op bij de instellingen.,Nie można było znaleść Emulatora Dolphin prosze ustaw ścieżkę w ustawieniach,"O Dolphin Emulator não foi encontrado, por favor defina o caminho nas definições","Не удалось найти эмулятор Dolphin, пожалуйста, установите путь в настройках.","Dolphin Emulator bulunamadı, lütfen yolu ayarlarda belirleyin",
message_warning.not_find_game.extra,"Could not find the game, please set the path in settings",,"Nepodařilo se najít hru, prosím nastav cestu v nastavení.",Das Spiel konnte nicht gefunden werden. Bitte lege den Pfad in den Einstellungen fest.,No se encontró el juego. Seleccione la ruta en ajustes.,Peliä ei löytynyt. Määritä sijaintipolku asetuksissa.,"N'a pas pu trouver le jeu, veuillez chosir le chemin dans les paramètres","Non è stato possibile trovare il gioco, controlla l'indirizzo nelle impostazioni",ゲームファイルが見つかりませんでした。設定でパスを設定してください。,게임을 찾을 수 없습니다. 설정에서 경로를 지정해 주십시오.,,Kan het spelbestand niet vinden. Geef eerst de locatie op bij de instellingen.,Nie można było znaleść gry prosze ustaw ścieżkę w ustawieniach,"O jogo não foi encontrado, por favor defina o caminho nas definições","Не удалось найти игру, пожалуйста, установить путь в настройках.","Oyun bulunamadı, lütfen yolu ayarlarda belirleyin",
message_warning.multiple_files_selected.title,Multiple Files Selected,,Vybráno Více Souborů,Mehrere Dateien ausgewählt,Múltiples archivos seleccionados,Usea tiedosto valittuna,Plusieurs fichers sélectionnés,Più file selezionati,複数のファイルが選択されています,다수의 파일들이 선택됨,,Meerdere bestanden geselecteerd.,Wybrano Wiele Plików,Multiplos Ficheiros selecionados,Выбрано несколько файлов,Birden Fazla Dosya Seçildi,
message_warning.invalid_name.extra.mod_name_exists,A mod with the name '{$1}' already exists.,,Mod s jménem '{$1}' již existuje.,Eine Mod mit dem Namen '{$1}' existiert bereits.,Un mod con el nombre '{$1}' ya existe.,Modi nimellä '{$1}' on jo olemassa.,"Un mod avec le nom ""{$1}"" existe déjà",Una mod col nome '{$1}' esiste già.,「{$1}」というModは既に存在しています。,"""{$1}"" 이란 이름의 모드가 이미 존재합니다.",,"Er bestaat al een mod met de naam ""{$1}"".","Mod z nazwą ""{$1}"" już istnieje",Um mod com o  nome '{$1}' já existe,Мод с названием {$1} уже существует.,{$1}' adıyla zaten bir mod mevcut.,
message_warning.invalid_name.title,Name not possible.,,Jméno není možné.,Name nicht möglich.,Nombre no permitidio.,Nimi ei kelpaa.,Nom impossible.,Nome impossibile.,その名前にはできません,해당 이름은 사용할 수 없습니다,,Naam niet toegestaan.,Nazwa niedozwolona,Nome não permitido.,,Ada izin verilmiyor.,
message_warning.invalid_paths.extra,Please ensure all paths are correct and try again.,,"Zkontroluj prosím, zda jsou všechny cesty správné, a zkus to znovu.","Bitte stell es sicher, dass alle Pfade korrekt sind, und versuche es erneut.",Asegurese de que todas las rutas sean correctas y vuelvalo a intentar.,"Varmista, että kaikki polut ovat oikein ja yritä uudelleen.",Vérifiez bien si tous les chemins sont corrects et essayez à nouveau.,Assicurati che tutti gli indirizzi siano corretti e riprova.,すべてのパスが正しいことを確認して、もう一度お試しください。,모든 경로가 정확한지 확인한 후 다시 시도해 주십시오.,,Controleer of alle locaties correct zijn en probeer het opnieuw.,"Proszę się upewnij, że wszystkie ścieżki są poprawnę i spróbuj ponownie.",Por favor verifica que todos os percursos estão corretos e tenta outra vez.,"Убедитесь, что все пути правильны и попробуйте ещё раз.",Lütfen tüm yolların doğru olduğundan emin olun ve tekrar deneyin.,
message_warning.invalid_paths.title,Invalid Paths.,,Neplatné Cesty.,Ungültige Pfade,Rutas inválidas.,Virheelliset polut.,Chemin invalide,Percorsi non accettabili.,無効なパスです,잘못된 경로입니다,,Ongeldige locaties.,Niepoprawne ścieżki,Caminhos inválidos.,,Geçersiz yol.,
message_warning.dolphin_not_found.title,Dolphin Emulator Folder Not Found,,Složka Dolphin Emulator Nebyla Nalezena,Dolphin Emulator-Ordner nicht gefunden.,Carpeta del Emulador Dolphin no encontrada,Dolphin-emulaattorin kansiota ei löytynyt,Dossier Dolphin Emulator non trouvé,Cartella dell'Emulatore Dolphin non trovata,Dolphinエミュレーターのフォルダーが見つかりませんでした,돌핀 에뮬레이터 폴더를 찾지 못했습니다,,Dolphin-emulator-map niet gevonden.,Nie znaleziono folderu Emulatora Dolphin,Pasta Do Emulador Dolphin Não Encontrada,Папка эмулятора Dolphin не найдена,Dolphin Emulator Klasörü Bulunamadı,
message_warning.dolphin_not_found.extra,"Dolphin Emulator folder not automatically found. Please try and find the folder manually, click 'help' for more information.",,"Složka Dolphin Emulator nebyla automaticky nalezena. Zkus prosím složku najít ručně, klikni na 'Pomoc' pro více informací.","Der Ordner „Dolphin Emulator“ wurde nicht automatisch gefunden. Versuche bitte, den Ordner manuell zu finden. Für weitere Informationen einfach auf „Hilfe“ klicken.",La carpeta del Emulador Dolphin no se encontró automaticamente. Intentelo manualmente. Aprete 'Ayuda' para más información.,Dolphin-emulaattorin kansiota ei löytynyt automaattisesti. Yritä etsiä kansio mauaalisesti. Lisätietoa saat napsauttamalla 'Ohje'.,"Le dossier Dolphin Emulator n'a pas été automatiquement trouvé. Veuillez essayé de trouver le dossier manuellement, cliquez sur ""Aide"" pour plus d'information.","Cartella dell'Emulatore Dolphin non trovata automaticamente. Prova a trovare la cartella manualmente, clicca ""Aiuto"" per ulteriori informazioni.","Dolphinエミュレーターのフォルダーが自動では見つかりませんでした。
フォルダーを手動で見つけてください。詳細については「help」をクリックしてください。","돌핀 에뮬레이터 폴더를 자동으로 찾지 못했습니다. 폴더를 수동으로 찾아야 합니다. ""help""를 클릭해 자세한 설명을 보십시오.",,"De Dolphin-emulator-map is niet automatisch gevonden. Probeer de map handmatig te vinden. Klik op ""hulp"" voor meer informatie.","Folder Emulatora Dolphin nie został znaleziony automatycznie. Proszę spróbuj znaleść folder manualnie kliknij ""pomoc"" po więcej informacji","A pasta Do Emulador Dolphin não foi automáticamente encontrada. Por favor tente encontrar a pasta manualmente, clica em 'ajuda' para obter mais informação-","Папка эмулятора Dolphin не была найдена автоматически. Пожалуйста, попробуйте найти её самостоятельно. Для подробностей, нажмите на ""Помощь""","Dolphin Emulator klasörü otomatik olarak bulunamadı. Lütfen klasörü manuel olarak bulmayı deneyin, daha fazla bilgi için 'yardım'ı tıklayın.",
message_warning.dolphin_version_unverified.title,Could not verify your Dolphin Emulator version,,,,,,,,,,,,,,,,
message_warning.dolphin_version_unverified.extra,"Wheel Wizard could not read the version of the Dolphin Emulator you have configured, so it cannot tell whether it has the security fixes.

Please check yourself that you are on {$1} or newer. Older versions have a known security issue where malicious game files, mods, or cheating online players can infect your PC with malware.",,,,,,,,,,,,,,,,
message_warning.dolphin_tool_selected.title,Wrong Dolphin executable selected,,,Falsche Dolphin executable ausgewählt.,,Kelvoton Dolphinin käynnistystiedosto valittuna,,,,,,,Wybrano zły plik wykonywalny Dolphina,Executável incorreto do Dolphin selecionado.,,,
message_warning.dolphin_tool_selected.extra,You selected DolphinTool.exe. Please choose Dolphin.exe (the Dolphin emulator executable) instead.,,,"Du hast ""DolphinTool.exe"" ausgewählt. Bitte wähle stattdessen ""Dolphin.exe"" (die Dolphin Anwendung).",,Sinulla on DolphinTool.exe valittuna. Ole hyvä ja valitse Dolphin.exe (Dolphin-emulaattorin käynnistystiedosto) sen sijaan.,,,,,,,Wybrałeś DolphinTool.exe. Proszę wybierz Dolphin.exe (Plik wykonywalny Emulatora Dolphin) zamiast tego,Selecionou DolphinTool.exe. Por favor escolha Dolphin.exe (o executável do Dolphin Emulator).,,,
message_warning.fail_check_updates.title,Failed to check for updates,,Kontrola aktualizací se nezdařila,Die Suche nach Updates ist fehlgeschlagen.,Error al buscar actualizaciones,Päivitysten tarkistus epäonnistui,Échec de la vérification des mises à jour,Controllo aggiornamenti fallito,アップデートの確認に失敗しました,업데이트 확인 실패,,Zoeken naar updates mislukt.,Nie udało się sprawdzić dostępności aktualizacji,Falha ao procurar atualizações,Не удалось проверить обновления,Güncellemeleri kontrol etme başarısız oldu,
message_warning.fail_check_updates.extra,Can't check for updates right now. You might not be connected to the internet or the server might be down.,,Aktualizace není možné právě teď zkontrolovat. Možná nejsi připojeni k internetu nebo server může být mimo provoz.,Es ist nicht möglich gerade nach Updates zu suchen. Du bist vielleicht nicht mit dem Internet verbunden oder der Server hat gerade Schwierigkeiten.,No se pueden buscar actualizaciones en este momento. Es posible que no tengas conexión a internet o que el servidor esté inactivo.,Päivityksiä ei voi tarkistaa juuri nyt. Internet-yhteyttä ei ole tai palvelimessa on ongelma.,Impossibilité de vérifier les mises à jour actuellement. Vous n'êtes probablement pas connecté à internet ou le serveur est probablement en maintenance,Impossibile verificare gli aggiornamenti in questo momento. Potresti non avere una connessione ad internet oppure il server potrebbe essere offline.,現在アップデートを確認できません。インターネットに接続されていないか、サーバーがダウンしている可能性があります,업데이트를 확인 할 수 없습니다. 인터넷 연결이 끊어졌거나 서버가 다운된 상태일 수 있습니다,,Kan momenteel niet op updates controleren. Mogelijk heb je geen internetverbinding of de server is offline.,Nie udało się sprawdzić dostępności aktualizacji w tej chwili. Możesz nie być podłączony do internetu lub serwer może teraz nie działać.,Não é possível verificar se há atualizações no momento. Pode não estar conectado à internet ou o servidor pode estar indisponível ou em baixo.,,Şu an güncellemeler kontrol edilemiyor. İnternete bağlı olmayabilirsiniz veya sunucular çalışmıyor olabilir.,
message_warning.unable_update_wh_wz.extra.reason_network,Unable to check if Wheel Wizard is up to date. \nYou might be experiencing network issues.,,,"Es kann nicht überprüft werden, ob Wheel Wizard auf dem neuesten Stand ist. \nMöglicherweise treten derzeit Netzwerkprobleme auf.",Incapaz de confirmar la actualidad de su versión de Wheel Wizard.\n Podrías estar experimentando problemas de conexión.,"Ei voitu tarkistaa, onko Wheel Wizard ajan tasalla.\nSyynä saattaa olla verkkoyhteysongelmat.",Impossible de vérifier si Wheel Wizard est mis à jour. \nVous pourrez expérimenter des problèmes d'internet.,Impossibile verificare se Wheel Wizard è aggiornato. \nPotresti avere problemi di connessione.,Wheel Wizardが最新かどうか確認できません。\nネットワークの問題が発生している可能性があります。,휠 위저드의 버전을 확인할 수 없습니다. \n네트워크 문제가 발생했을 수 있습니다.,,Kan niet controleren of Wheel Wizard up-to-date is. \nEr zijn mogelijk netwerkproblemen.,Nie można sprawdzić czy Wheel Wizard jest na najnowszej wersji. \nMożesz mieć problem z internetem.,Impossível verificar se o Wheel Wizard está atualizado. \nTalvez estejas a experienciar problemas de net,"Не удалось проверить, обновлён ли Wheel Wizard до последней версии? \nВы возможно испытываете проблемы с подключеним.",Wheel Wizard'ın güncel olup olmadığını kontrol edilemedi. \nAğ sorunları yaşıyor olabilirsiniz.,
message_warning.unable_update_wh_wz.extra.reason_location,Unable to update Wheel Wizard. Please ensure the application is located in a folder that can be written to.\n Could not find current folder.,,,"Wheel Wizard kann nicht aktualisiert werden. Bitte stelle sicher, dass sich die Anwendung in einem Ordner befindet, in den geschrieben werden kann.\n Der aktuelle Ordner konnte nicht gefunden werden.",Incapaz de actualizar Wheel Wizard. Asegurate que la aplicación esta ubicada en una carpeta que se puede editar.\n No se encontró la carpeta actual.,"Wheel Wizardia ei voi päivittää. Varmista, että sovellus sijaitsee kansiossa, johon voi kirjoittaa tietoja.\nNykyistä kansiota ei löytynyt.",Impossible de mettre à jour Wheel Wizard. Veuillez bien vérifier que l'application se trouve dans un dossier qui peut être écrit. \n N'a pas pu trouver le dossier actuel.,Impossibile aggiornare Wheel Wizard. Assicurati che l'applicazione si trovi in una cartella con diritti di scrittura. \nNon è possibile trovare la cartella attuale.,Wheel Wizardが更新できません。アプリが書き込み可能なフォルダーにあることを確認してください。\n現在のフォルダーが見つかりません。,휠 위저드를 업데이트할 수 없습니다. 프로그램이 쓰기 가능한 폴더에 있는지 확인하십시오.\n현재 폴더를 찾을 수 없습니다.,,Wheel Wizard kan niet worden geüpdatet. Zorg ervoor dat de applicatie zich in een map bevindt waarnaar kan worden geschreven.\n Kan de huidige map niet vinden.,"Nie można zaktualizować Wheel Wizard. Proszę upewnij się, że aplikacja jest zlokalizowana w folderze, który ma możliwość zapisu.\n Nie można znaleść obecnego folderu.",Incapaz de atualizar o Wheel Wizard. Garante que a aplicação se encontra numa pasta que pode ser localizada.\n Falha a encontar a pasta atual,"Не удалось обновить Wheel Wizard. Пожалуйста убедитесь, что исполняемый файл находится в папке куда можно добавлять файлы.\n Не удалось найти текущую папку.",Wheel Wizard güncellenemedi. Uygulamanın erişilebilir bir klasörde bulunduğundan emin olun. \n İstenilen klasör bulunamadı.,
message_warning.unable_update_wh_wz.title,Unable to update Wheel Wizard.,,Není možné aktualizovat Wheel Wizard,Wheel Wizard konnte nicht aktualisiert werden.,No se pudo actualizar Wheel Wizard.,Wheel Wizardia ei voi päivittää.,Impossible de mettre à jour Wheel Wizard.,Impossibile aggiornare Wheel Wizard.,Wheel Wizardのアップデートを無効にする,휠 위저드를 업데이트 할 수 없습니다,,Wheel Wizard kan niet worden geüpdatet.,Nie można zaktualizować Wheel Wizard.,Não é possível atualizar o Wheel Wizard,Не удалось обновить Wheel Wizard.,Wheel Wizard güncellenemedi.,
message_warning.no_connect_server.extra,Could not connect to the server. Please try again later.,,Nepodařilo se připojit k serveru. Zkus to prosím znovu později.,Es konnte keine Verbindung zum Server hergestellt werden. Bitte versuche es später noch einmal.,No se pudo conectar al servidor. Intente de nuevo más tarde,Yhdistäminen palvelimelle epäonnistui. Yritä myöhemmin uudelleen.,N'a pas pu de se connecter au serveur. Veuillez réessayer plus tard.,Impossibile connettersi al server. Riprova più tardi.,サーバーに接続できませんでした。後でもう一度試してください。,서버에 연결할 수 없습니다. 잠시 후 다시 시도해 주십시오.,,Kan geen verbinding maken met de server. Probeer het later opnieuw.,Nie można połączyć się ze serwerem. Spróbuj ponownie później.,Falha ao conectar ao servidor. Tente de novo mais tarde,Не удалось подключиться к серверу. Попробуйте чуть позже.,Sunucuya bağlanılamadı. Lütfen daha sonra tekrar deneyin.,
message_warning.no_connect_server.title,Could not connect to the server,,Nepodařilo se připojit k serveru.,"Die Verbindung zum Server konnte nicht hergestellt werden,",No se pudo conectar al servidor.,Yhdistäminen palvelimelle epäonnistui.,N'a pas pu se connecter au serveur,Impossibile connettersi al server,サーバーに接続できませんでした,서버에 연결할 수 없습니다,,Kan geen verbinding maken met de server.,Nie można połączyć się ze serwerem,Não é possível conectar ao servidor.,,Sunucuya bağlanılamıyor.,
message_warning.cant_view_mod.title,Cannot view this mod.,,Tento mod není možné zobrazit.,Du kannst diese Mod nicht ansehen.,No se puede ver este mod.,Tätä modia ei voi näyttää,Impossibilité de voir ce mod.,Impossibile vedere questa mod.,このModは閲覧できません,이 모드를 볼 수 없습니다,,Kan deze mod niet weergegeven.,Nie można zobaczyć tego moda.,Não é possível ver este mod.,,Bu mod görüntülenemiyor,
message_warning.cant_view_mod.extra.something_else,Something went wrong when trying to open the selected mod.,,Při pokusu o otevření vybraného modu se něco pokazilo.,Etwas ist schief gelaufen beim Ansehen dieser Mod.,Se produjo un error al abrir el mod seleccionado.,Jokin meni pieleen avatessa valittua modia.,Quelque chose a échoué en essayant d'ouvrir le mod choisi.,Qualcosa è andato storto nel tentativo di aprire la mod selezionata.,選択されたModを開こうとした際に問題が発生しました,선택한 모드를 여는데 문제가 발생했습니다,,Er is iets misgegaan bij het openen van de geselecteerde mod.,Coś poszło nie tak próbując otworzyć wybrany mod.,Algo correu mal ao tentar abrir o mod selecionado.,,Seçilen modu açmaya çalışırken bir hata oluştu,
message_warning.cant_view_mod.extra.not_from_browser,Cannot view mod that was not installed through the mod browser.,,"Není možné zobrazit mod, který nebyl nainstalován prostřednictvím prohlížeče modů.",Die Mod die über den Mod Browser heruntergeladen wurde kann nicht angesehen werden.,No se puede ver mod que no fue instalado por el navegador de mods.,"Ei voida näyttää modia, jota ei ole asennettu modiselaimen kautta.",Impossibilité de voir un mod qui n'a pas été installé depuis GameBanana,Impossibile vedere una mod che non è stata installata tramite il browser delle mod.,ModブラウザーでインストールしていないModは閲覧できません,모드 브라우저를 통하지 않고 설치한 모드는 볼 수 없습니다,,"Kan mod, die niet is geïnstalleerd via de mod-browser, niet weergeven.","Nie można zobaczyć moda, który nie był zainstalowany poprzez Przeglądacza Modów.",Não é possível ver um mod que não foi instalado a partir do navegador de mods.,,Mod tarayıcısından indirilmemiş modlar görüntülenemez.,
message_warning.cannot_delete_fav_mii.title,Cannot delete favorite Mii(s),,Není možné odstranit oblíbené Mii(y),"Mii(s) die als Favorit markiert sind, sind nicht löschbar.",No se pueden borrar Miis en favoritos,Suosikki-Miitä ei voi poistaa,Impossibilité de supprimer des Mii en favoris.,Impossibile eliminare dei Mii favoriti.,お気に入りのMiiは削除できません,즐겨찾기 된 Mii는 삭제할 수 없습니다,,Kan favoriete Mii('s) niet verwijderen.,Nie można usunąć ulubionych Mii,Não é possível apagar Mii(s) favoritos,Не удалось удалить избранного(-ых) Mii,Favori Mii silinemiyor,
message_warning.cannot_delete_fav_mii.extra,One or more of the selected Mii(s) is a favorite. Miis can only be deleted if they are not favorites to prevent accidental deletions.,,"Jeden nebo více z vybraných Mii(y) je oblíbený. Miiy je možné smazat pouze v případě, že nejsou oblíbené, aby se zabránilo náhodnému smazání.",Ein oder mehrere der ausgewählten Mii(s) ist ein Favorit. Miis die als Favorit makiert wurden können nur gelöscht werden wenn sie nicht mehr Favorit sind um zu verhindern dass aus Versehen Löschungen geschehen.,Uno o más de los Miis está en favoritos. Los Miis solo pueden ser borrados si no está en favoritos para prevenir borrar Miis accidentalmente.,"Yksi tai useampi valituista Miistä on merkitty suosikiksi. Vahinkopoistojen välttämiseksi Miit voi poistaa vain, jos ne eivät ole suosikkeja.",Un ou plusieurs des Miis choisis sont en favoris. Les Miis peuvent être supprimés seulement s'ils ne sont pas en favoris pour éviter une suppression involontaire.,Uno o più dei Mii selezionati è favorito. I Mii possono solo essere eliminati se non sono favoriti per evitare cancellazioni involontarie.,選択したMiiのうち1体以上がお気に入りに設定されています。誤って削除してしまうのを防ぐため、お気に入りに設定されていないMiiのみ削除できます,하나 이상의 Mii가 즐겨찾기 되었습니다. 즐겨찾기 된 Mii는 실수로 삭제되는것을 막습니다. 삭제를 하고 싶으실 땐 즐겨찾기를 해제해 주세요,,"Eén of meer van de geselecteerde Mii's is een favoriet. Mii's kunnen alleen worden verwijderd als ze geen favoriet zijn, om onbedoelde verwijderingen te voorkomen.",Jeden lub więcej z zaznaczonych Mii jest ulubiony. Mii mogą być tylko usunięte jeżeli nie są z listy ulubionych by zapobiec przed przypadkowym usunięciem.,Um ou mais dos Mii(s) selecionados é um favorito. Miis só podem ser apagados se não forem favoritos de forma a prevenir que sejam apagados por engano.,,Seçilen bir ya da daha fazla Mii favori olarak ayarlanmış. Mii'ler favori iken yanlışlıkla silmeyi engellemek için silinemezler,
message_warning.mod_name_invalid.title,Mod name Invalid.,,Neplatný název modu.,Mod Name nicht gültig.,,Modin nimi on virheellinen.,Nom du mod invalide.,Il nome della mod non è valido.,Modの名前が無効です,잘못된 모드 이름입니다,,Mod-naam ongeldig.,Nieprawidłowa nazwa moda.,Nome do mod inválido.,,Mod adı geçersiz.,
message_warning.mod_name_invalid.extra,Mod name contains invalid characters.,,Název modu obsahuje neplatné znaky.,Mod Name kann keine ungültigen Zeichen beinhalten.,,Modin nimi sisältää virheellisiä merkkejä.,Le nom du mod contient des caractères invalides.,Il nome della mod contiene caratteri non validi.,Modの名前に無効な文字が含まれています,모드 이름에 사용할 수 없는 문자열이 사용됐습니다,,Mod-naam bevat ongeldige tekens.,Nazwa moda zawiera nieprawidłowe znaki.,Nome do mod contêm carateres inválidos.,,Mod adında geçersiz karakter bulunuyor.,
message_warning.mod_name_empty.title,Mod name can't be empty.,,Název modu nemůže být prázdný.,Mod-Name darf nicht leer sein.,No puede dejar el nombre del mod en blanco.,Modin nimi ei voi olla tyhjä.,Le nom du mod ne peut pas être vide,Il nome della mod non può essere vuoto.,Modの名前は空にできません,모드 이름을 공란으로 할 수 없습니다,,Mod-naam mag niet leeg zijn.,Nazwa moda nie może być pusta.,Nome do mod não pode estar em branco.,Название мода не может быть пустым.,Mod adı boş olamaz,
message_warning.mod_name_empty.extra,Please provide a mod name.,,"Prosím, uveď název modu.",Bitte gib einen Namn für die Mod ein.,,Anna modille nimi.,Veuillez écrire un nom pour le mod.,Dai un nome alla mod.,Modの名前を入力してください,모드 이름을 지어주세요,,Geef een mod-naam op.,Proszę podaj nazwe moda.,Indique um nome de mod.,,Lütfen bir mod adı girin.,
message_warning.unable_download_mod.title,Unable to download the mod,,Není možné stáhnout mod,Konnte die Mod nicht herunterladen.,,Modia ei voi ladata,Impossibilité de télécharger le mod,Impossibile scaricare la mod.,Modをダウンロードできません,모드를 다운로드 할 수 없습니다,,Downloaden van mod mislukt.,Nie można pobrać moda,Não é possível descarregar o mod,Не удалось загрузить мод,Mod indirilemedi.,
message_warning.unable_download_mod.extra,Files could not be found.,,Soubory se nepodařilo nalézt.,Dateien konnten nicht gefunden werden.,,Tiedostoja ei löytynyt.,Les fichiers n'ont pas été trouvés.,I file non sono stati trovati.,ファイルが見つかりませんでした,파일을 찾을 수 없습니다,,Bestanden konden niet worden gevonden.,Nie można znaleść plików.,Os ficheiros não foram encontrados.,Не удалось найти файлы.,Dosyalar bulunamadı.,
message_warning.could_not_convert_mod.title,Could not convert mod,,,,,Modia ei voitu muuntaa,,,,,,,Nie można skonwertować moda,Não foi possível converter o mod.,,,
placeholder.enter_mod_name,Enter mod name...,,Zadej jméno modu...,Gib Mod Namen ein...,,Anna modin nimi...,Entrez le nom du mod...,Inserisci il nome della mod...,Modの名前を入力してください...,모드 이름을 입력...,,Vul mod-naam in...,Wpisz nazwe moda...,Introduzir nome do mod...,Введите название мода...,Mod adı girin...,
placeholder.search_mod,Search for mods...,,Hledej mody...,Suche nach Mods...,,Hae modeja...,Recherche de mods...,Cerca delle mod...,Modを検索します...,모드를 찾는 중...,,Zoek voor mods...,Szukaj modów...,Pesquisa por mods...,Поиск модов...,Mod arayın...,
placeholder.enter_mii_name,Enter Mii name...,,Zadej jméno Mii...,Gib Mii Namen ein...,,Anna Miin nimi...,Entrez le nom du mii...,Inserisci il nome del Mii...,Miiの名前を入力してください...,Mii의 이름을 입력하세요...,,Vul Mii-naam in...,Wpisz imię Mii...,Introduzir nome do Mii...,Введите имя Mii...,Mii adı girin...,
placeholder.enter_text_here,Enter text here...,,Zadej text zde...,Gib Text ein...,,Kirjoita tähän...,Entrez un texte ici...,Inserisci qui del testo...,ここにテキストを入力してください...,여기에 텍스트를 입력하세요...,,Vul tekst in...,Wpisz tutaj tekst...,Introduzir texto...,Введите текст...,Metni buraya girin...,
placeholder.search_for_players,Search For Players...,,Hledej hráči...,Suche nach Spielern...,Buscando jugadores...,Hae pelaajia...,Recherche de joueurs...,Cerca giocatori...,プレイヤーを検索します...,플레이어 찾는 중...,,Zoek voor spelers...,Szukaj Graczy...,Pesquisa Por Jogadores...,Поиск игроков...,Oyuncuları Ara...,
placeholder.enter_path,Enter desired path here...,,Zadej požadovanou cestu zde...,Gewünschten Pfad hier eingeben...,Ingrese la ruta deseada...,Anna haluttu polku tähän...,Choisissez le chemin désiré ici...,Inserisci qui l'indirizzo desiderato...,希望のパスを入力してください...,원하는 경로를 입력하세요...,,Vul bestandslocatie in...,Podaj chcianą ścieżkę tutaj...,Introduz aqui o caminho desejado...,Вставьте сюда путь к файлу...,İstenen yolu buraya girin...,
message_error.no_mod_folder.extra,Mod folder does not exist,,Složka s mody neexistuje,Mod-Ordner existiert nicht.,No existe una carpeta de mods,Modikansiota ei ole olemassa,Le dossier du mod n'existe pas,La cartella della mod non esiste,Modフォルダーがありません,모드 폴더가 없습니다,,Mod-map bestaat niet.,Folder modów nie istnieje,A pasta do mod não existe,Папка с модами не существует,Mod klasörü mevcut değil,
